idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,PagDiagnosiDiGravidanza,DataAnalisiPag,NumeroCampionePag
-9223372036723838058,-9223372036848656363,21,BZ,C4,11,24,11,2017,POSITIVA,2017-11-24,48.0
-9223372036723838204,-9223372036848656345,21,BZ,C4,11,9,11,2017,NEGATIVA,2017-11-09,69.0
-9223372036723849543,-9223372036849604464,16,BG,C4,11,27,11,2017,POSITIVA,2017-11-27,72872927.0
-9223372036723849544,-9223372036850039754,16,BG,C4,11,27,11,2017,POSITIVA,2017-11-27,72872961.0
-9223372036723851626,-9223372036848654993,2,VC,C4,11,16,11,2017,POSITIVA,2017-11-16,10493398.0
-9223372036723851629,-9223372036850108146,2,VC,C4,11,16,11,2017,POSITIVA,2017-11-16,10493815.0
-9223372036723821671,-9223372036848638895,21,BZ,C4,11,18,1,2018,POSITIVA,2018-01-18,5.0
-9223372036723822862,-9223372036848635986,21,BZ,C4,11,9,1,2018,POSITIVA,2018-01-09,68.0
-9223372036723822867,-9223372036848638706,21,BZ,C4,11,9,1,2018,POSITIVA,2018-01-09,66.0
-9223372036723822874,-9223372036848642059,21,BZ,C4,11,9,1,2018,POSITIVA,2018-01-09,65.0
-9223372036723822913,-9223372036848658835,21,BZ,C4,11,9,1,2018,POSITIVA,2018-01-09,19.0
-9223372036723822920,-9223372036849127520,21,BZ,C4,11,9,1,2018,POSITIVA,2018-01-09,27.0
-9223372036723823173,-9223372036848624702,21,BZ,C4,11,8,1,2018,POSITIVA,2018-01-08,41.0
-9223372036723823174,-9223372036848633697,21,BZ,C4,11,8,1,2018,POSITIVA,2018-01-08,39.0
-9223372036723823176,-9223372036848635010,21,BZ,C4,11,8,1,2018,NEGATIVA,2018-01-08,40.0
-9223372036723824206,-9223372036848646214,21,BZ,C4,11,2,1,2018,NEGATIVA,2018-01-02,89.0
-9223372036723825973,-9223372036848627116,21,BZ,C4,11,20,1,2018,NEGATIVA,2018-01-20,4.0
-9223372036723825979,-9223372036848644371,21,BZ,C4,11,20,1,2018,NEGATIVA,2018-01-20,1.0
-9223372036723829240,-9223372036848632002,21,BZ,C4,11,17,1,2018,POSITIVA,2018-01-17,41.0
-9223372036723829246,-9223372036848659139,21,BZ,C4,11,17,1,2018,NEGATIVA,2018-01-17,32.0
-9223372036723829391,-9223372036848642711,21,BZ,C4,11,27,1,2018,NEGATIVA,2018-01-27,16.0
-9223372036723829397,-9223372036848646142,21,BZ,C4,11,27,1,2018,POSITIVA,2018-01-27,14.0
-9223372036723829410,-9223372036848658184,21,BZ,C4,11,27,1,2018,RIVEDIBILE,2018-01-27,4.0
