"idMisuraPrimaria","idAnimale","codiceIstat","siglaProvincia","codiceSpecieAIA","codiceRazzaAIA","giorno","mese","anno","DataIdentificazioneUnivoca","IdentificazioneSoggetto"
-9223372036155767808,-9223372036846622720,97,"LC","C4",11,2,7,2018,"2018-07-02",-9223372036846623744
-9223372030005169152,-9223372036834223104,21,"BZ","C4",11,25,8,2018,"2018-08-25",-9223372036834224128
-9223372034238553088,-9223372036834227200,21,"BZ","C4",11,12,8,2018,"2018-08-12",-9223372036834228224
-9223372036084797440,-9223372036847919104,22,"TN","C4",11,31,8,2018,"2018-08-31",-9223372036847920128
-9223372036154906624,-9223372036849480704,25,"BL","C4",11,27,8,2018,"2018-08-27",-9223372036849479680
-9223372036155018240,-9223372036849348608,25,"BL","C4",11,25,8,2018,"2018-08-25",-9223372036849347584
-9223372036155084800,-9223372036847342592,21,"BZ","C4",11,14,8,2018,"2018-08-14",-9223372036847343616
-9223372036155111424,-9223372036847910912,22,"TN","C4",11,4,8,2018,"2018-08-04",-9223372036847911936
-9223372036155490304,-9223372036846608384,21,"BZ","C4",11,6,8,2018,"2018-08-06",-9223372036846608384
-9223372036155582464,-9223372036849281024,16,"BG","C4",11,25,8,2018,"2018-08-25",-9223372036849280000
-9223372036155771904,-9223372036846518272,18,"PV","C4",11,3,8,2018,"2018-08-03",-9223372036846518272
-9223372032113009664,-9223372036834145280,21,"BZ","C4",11,26,9,2018,"2018-09-26",-9223372036834144256
-9223372032398226432,-9223372036834131968,21,"BZ","C4",11,19,9,2018,"2018-09-19",-9223372036834131968
-9223372035261026304,-9223372036841596928,21,"BZ","C4",11,11,9,2018,"2018-09-11",-9223372036841595904
-9223372036108172288,-9223372036849286144,25,"BL","C4",11,24,9,2018,"2018-09-24",-9223372036849286144
-9223372036112934912,-9223372036845908992,21,"BZ","C4",11,28,9,2018,"2018-09-28",-9223372036845907968
-9223372036154804224,-9223372036849318912,24,"VI","C4",11,25,9,2018,"2018-09-25",-9223372036849319936
-9223372036154834944,-9223372036847263744,1,"TO","C4",11,29,9,2018,"2018-09-29",-9223372036847263744
-9223372036154849280,-9223372036846367744,97,"LC","C4",11,15,9,2018,"2018-09-15",-9223372036846367744
-9223372036154853376,-9223372036847177728,16,"BG","C4",11,10,9,2018,"2018-09-10",-9223372036847177728
-9223372036154896384,-9223372036847566848,22,"TN","C4",11,1,9,2018,"2018-09-01",-9223372036847567872
-9223372036155011072,-9223372036846588928,1,"TO","C4",11,26,9,2018,"2018-09-26",-9223372036846587904
-9223372036155038720,-9223372036846529536,17,"BS","C4",11,23,9,2018,"2018-09-23",-9223372036846529536
-9223372036155197440,-9223372036847330304,21,"BZ","C4",11,20,9,2018,"2018-09-20",-9223372036847330304
-9223372036155319296,-9223372036846614528,21,"BZ","C4",11,13,9,2018,"2018-09-13",-9223372036846615552
-9223372036155337728,-9223372036847606784,22,"TN","C4",11,1,9,2018,"2018-09-01",-9223372036847607808
-9223372036155401216,-9223372036849259520,30,"UD","C4",11,23,9,2018,"2018-09-23",-9223372036849259520
-9223372036155623424,-9223372036849231872,14,"SO","C4",11,27,9,2018,"2018-09-27",-9223372036849231872
-9223372035236224000,-9223372036834004992,22,"TN","C4",11,26,10,2018,"2018-10-26",-9223372036834003968
-9223372036075129856,-9223372036844014592,21,"BZ","C4",11,22,10,2018,"2018-10-22",-9223372036844015616
-9223372036115875840,-9223372036846067712,28,"PD","C4",11,27,10,2018,"2018-10-27",-9223372036846067712
-9223372036154977280,-9223372036846611456,21,"BZ","C4",11,31,10,2018,"2018-10-31",-9223372036846612480
-9223372036155078656,-9223372036847902720,21,"BZ","C4",11,9,10,2018,"2018-10-09",-9223372036847903744
-9223372036155089920,-9223372036849245184,21,"BZ","C4",11,26,10,2018,"2018-10-26",-9223372036849244160
-9223372036155112448,-9223372036846385152,83,"ME","C4",11,26,10,2018,"2018-10-26",-9223372036846384128
-9223372036155195392,-9223372036849246208,21,"BZ","C4",11,25,10,2018,"2018-10-25",-9223372036849246208
-9223372036155211776,-9223372036849284096,14,"SO","C4",11,27,10,2018,"2018-10-27",-9223372036849284096
-9223372036155483136,-9223372036847576064,28,"PD","C4",11,25,10,2018,"2018-10-25",-9223372036847576064
-9223372036155591680,-9223372036849222656,24,"VI","C4",11,25,10,2018,"2018-10-25",-9223372036849223680
-9223372036155597824,-9223372036847278080,1,"TO","C4",11,15,10,2018,"2018-10-15",-9223372036847278080
-9223372036155652096,-9223372036846674944,6,"AL","C4",11,7,10,2018,"2018-10-07",-9223372036846675968
-9223372036155714560,-9223372036846866432,30,"UD","C4",11,16,10,2018,"2018-10-16",-9223372036846866432
-9223372036155751424,-9223372036847172608,16,"BG","C4",11,29,10,2018,"2018-10-29",-9223372036847171584
-9223372032707544064,-9223372036834015232,21,"BZ","C4",11,30,11,2018,"2018-11-30",-9223372036834016256
-9223372033052073984,-9223372036834057216,21,"BZ","C4",11,4,11,2018,"2018-11-04",-9223372036834056192
-9223372035837847552,-9223372036835792896,21,"BZ","C4",11,12,11,2018,"2018-11-12",-9223372036835791872
-9223372036039109632,-9223372036842508288,21,"BZ","C4",11,14,11,2018,"2018-11-14",-9223372036842508288
-9223372036103251968,-9223372036847399936,21,"BZ","C4",11,3,11,2018,"2018-11-03",-9223372036847399936
-9223372036154784768,-9223372036847358976,93,"PN","C4",11,29,11,2018,"2018-11-29",-9223372036847360000
-9223372036154949632,-9223372036846589952,1,"TO","C4",11,20,11,2018,"2018-11-20",-9223372036846589952
-9223372036155016192,-9223372036847347712,13,"CO","C4",11,5,11,2018,"2018-11-05",-9223372036847347712
-9223372036155246592,-9223372036847974400,21,"BZ","C4",11,15,11,2018,"2018-11-15",-9223372036847974400
-9223372036155275264,-9223372036846720000,96,"BI","C4",11,4,11,2018,"2018-11-04",-9223372036846720000
-9223372036155291648,-9223372036847618048,24,"VI","C4",11,24,11,2018,"2018-11-24",-9223372036847618048
-9223372036155357184,-9223372036847632384,25,"BL","C4",11,30,11,2018,"2018-11-30",-9223372036847632384
