"idMisuraPrimaria","idAnimale","codiceIstat","siglaProvincia","codiceSpecieAIA","codiceRazzaAIA","giorno","mese","anno","CodiceAziendaNascita","DestinazioneSoggetto","PesoAllaNascita","NumeroCapezzoli","date_formatted"
-9223372034100638720,-9223372036827078656,21,"BZ","C4",11,30,9,2017,-9223372036834264064,"Vita",NA,NA,2017-09-30
-9223372036099821568,-9223372036847974400,21,"BZ","C4",11,1,10,2017,-9223372036849263616,"Vita",NA,NA,2017-10-01
-9223372032715301888,-9223372036846942208,21,"BZ","C4",11,8,10,2017,-9223372036849263616,"Vita",NA,NA,2017-10-08
-9223372036113913856,-9223372036845970432,22,"TN","C4",11,8,10,2017,-9223372036849256448,"Vita",450,NA,2017-10-08
-9223372032146673664,-9223372036834638848,21,"BZ","C4",11,10,10,2017,-9223372036849179648,"Vita",NA,NA,2017-10-10
-9223372033266292736,-9223372036838752256,21,"BZ","C4",11,10,10,2017,-9223372036834264064,"Vita",NA,NA,2017-10-10
-9223372036084868096,-9223372036847920128,21,"BZ","C4",11,10,10,2017,-9223372036849261568,"Vita",NA,NA,2017-10-10
-9223372036105969664,-9223372036845522944,21,"BZ","C4",11,10,10,2017,-9223372036849261568,"Vita",NA,NA,2017-10-10
-9223372036093873152,-9223372036844758016,21,"BZ","C4",11,11,10,2017,-9223372036847370240,"Vita",NA,NA,2017-10-11
-9223372036089154560,-9223372036847936512,21,"BZ","C4",11,13,10,2017,-9223372036849263616,"Vita",NA,NA,2017-10-13
-9223372035816515584,-9223372036834832384,21,"BZ","C4",11,15,10,2017,-9223372036849183744,"Vita",NA,NA,2017-10-15
-9223372036103611392,-9223372036845375488,21,"BZ","C4",11,19,10,2017,-9223372036849261568,"Macello",NA,NA,2017-10-19
-9223372030012398592,-9223372036805015552,21,"BZ","C4",11,20,10,2017,-9223372036834425856,"Vita",NA,NA,2017-10-20
-9223372036114442240,-9223372036845997056,21,"BZ","C4",11,20,10,2017,-9223372036847452160,"Macello",NA,NA,2017-10-20
-9223372036115955712,-9223372036846072832,93,"PN","C4",11,20,10,2017,-9223372036849172480,"Macello",NA,NA,2017-10-20
-9223372034232935424,-9223372036834126848,21,"BZ","C4",11,22,10,2017,-9223372036849183744,"Vita",NA,NA,2017-10-22
-9223372036118739968,-9223372036846939136,21,"BZ","C4",11,23,10,2017,-9223372036849258496,"Vita",NA,NA,2017-10-23
-9223372032076295168,-9223372036806590464,21,"BZ","C4",11,24,10,2017,-9223372036847410176,"Vita",NA,NA,2017-10-24
-9223372036050885632,-9223372036843189248,21,"BZ","C4",11,25,10,2017,-9223372036849172480,"Vita",NA,NA,2017-10-25
-9223372030849764352,-9223372036833079296,21,"BZ","C4",11,28,10,2017,-9223372036847364096,"Vita",NA,NA,2017-10-28
-9223372035262462976,-9223372036836969472,21,"BZ","C4",11,28,10,2017,-9223372036849259520,"Vita",NA,NA,2017-10-28
-9223372035816626176,-9223372036837353472,21,"BZ","C4",11,28,10,2017,-9223372036835038208,"Vita",NA,NA,2017-10-28
-9223372035838046208,-9223372036835811328,21,"BZ","C4",11,31,10,2017,-9223372036849183744,"Vita",NA,NA,2017-10-31
-9223372036158212096,-9223372036847368192,13,"CO","C4",11,1,11,2017,-9223372036849177600,"Vita",NA,NA,2017-11-01
-9223372036158301184,-9223372036846905344,22,"TN","C4",11,1,11,2017,-9223372036849256448,"Vita",NA,NA,2017-11-01
