idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataDiagnosiGravidanza,EsitoDiagnosiGravidanza
-9223372036216430603,-9223372036848629647,21,BZ,C4,11,20,1,2018,2018-01-20,POSITIVA
-9223372036216430604,-9223372036848636681,21,BZ,C4,11,20,1,2018,2018-01-20,POSITIVA
-9223372036216430917,-9223372036848651353,21,BZ,C4,11,25,1,2018,2018-01-25,POSITIVA
-9223372036216430918,-9223372036848655742,21,BZ,C4,11,25,1,2018,2018-01-25,POSITIVA
-9223372036216430937,-9223372036848648701,21,BZ,C4,11,1,1,2018,2018-01-01,NEGATIVA
-9223372036216430999,-9223372036848635211,21,BZ,C4,11,27,1,2018,2018-01-27,POSITIVA
-9223372036216431013,-9223372036848629639,21,BZ,C4,11,16,1,2018,2018-01-16,POSITIVA
-9223372036216431014,-9223372036848634610,21,BZ,C4,11,16,1,2018,2018-01-16,POSITIVA
-9223372036216431016,-9223372036848649787,21,BZ,C4,11,16,1,2018,2018-01-16,POSITIVA
-9223372036216431017,-9223372036848656133,21,BZ,C4,11,16,1,2018,2018-01-16,POSITIVA
-9223372036216431025,-9223372036848649933,21,BZ,C4,11,28,1,2018,2018-01-28,POSITIVA
-9223372036216431029,-9223372036849431341,21,BZ,C4,11,13,1,2018,2018-01-13,POSITIVA
-9223372036216431047,-9223372036848634592,21,BZ,C4,11,12,1,2018,2018-01-12,POSITIVA
-9223372036216431368,-9223372036848639074,21,BZ,C4,11,13,1,2018,2018-01-13,POSITIVA
-9223372036216431443,-9223372036848630506,21,BZ,C4,11,25,1,2018,2018-01-25,POSITIVA
