idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,CodiceAziendaNascita,DestinazioneSoggetto,PesoAllaNascita,NumeroCapezzoli
-9223372036103133722,-9223372036847398969,21,BZ,C4,11,3,3,2017,-9.223372036849262e+18,Vita,,
-9223372036103616491,-9223372036845376213,21,BZ,C4,11,25,3,2017,-9.223372036847403e+18,Macello,,
-9223372036103641340,-9223372036847994813,21,BZ,C4,11,25,3,2017,-9.223372036849261e+18,Vita,,
-9223372036103644844,-9223372036847994850,21,BZ,C4,11,22,3,2017,-9.223372036849262e+18,Vita,,
-9223372036103646488,-9223372036847994861,21,BZ,C4,11,13,3,2017,-9.223372036849263e+18,Vita,,
-9223372036104411537,-9223372036848002103,21,BZ,C4,11,5,3,2017,-9.223372036849262e+18,Vita,,
-9223372036104413623,-9223372036848002165,21,BZ,C4,11,22,3,2017,-9.223372036849263e+18,Vita,,
-9223372036104418845,-9223372036848002115,21,BZ,C4,11,22,3,2017,-9.223372036849262e+18,Vita,,
-9223372036104773160,-9223372036848004476,21,BZ,C4,11,1,3,2017,-9.223372036849262e+18,Vita,,
-9223372036104778534,-9223372036848004519,21,BZ,C4,11,15,3,2017,-9.223372036849263e+18,Vita,,
-9223372036105357709,-9223372036847409049,21,BZ,C4,11,10,3,2017,-9.223372036849262e+18,Vita,,
-9223372036105450166,-9223372036848009919,21,BZ,C4,11,21,3,2017,-9.223372036849263e+18,Vita,,
-9223372036105895217,-9223372036848013298,21,BZ,C4,11,20,3,2017,-9.223372036849263e+18,Vita,,
-9223372036105899366,-9223372036848013262,21,BZ,C4,11,21,3,2017,-9.223372036849262e+18,Vita,,
-9223372036106180106,-9223372036848015265,21,BZ,C4,11,10,3,2017,-9.223372036849262e+18,Vita,,
-9223372036106602812,-9223372036848018039,21,BZ,C4,11,14,3,2017,-9.223372036849262e+18,Vita,,
-9223372036106606284,-9223372036848018059,21,BZ,C4,11,5,3,2017,-9.223372036849262e+18,Vita,,
