idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,IcssIndiceCelluleSomatiche,AccuratezzaCalcoloIndice,TipoIndice,FrequenzaCalcolo,AnnoDiRiferimento,NumeroDiFiglie,NumeroDiAziende,AreaGeograficaEsteraDiInfluenzaSuCalcolo
-9223372035851850677,-9223372036844339276,,,C4,11,6,5,2021,99.0,56.0,GENETICO,Semestrale,2021,,,
-9223372035851850689,-9223372036844361889,,,C4,11,6,5,2021,102.0,46.0,GENETICO,Semestrale,2021,,,
-9223372035851850701,-9223372036844294269,,,C4,11,6,5,2021,105.0,60.0,GENETICO,Semestrale,2021,,,
-9223372035851850713,-9223372036844338940,,,C4,11,6,5,2021,104.0,52.0,GENETICO,Semestrale,2021,,,
-9223372035851850725,-9223372036844315934,,,C4,11,6,5,2021,104.0,39.0,GENETICO,Semestrale,2021,,,
-9223372035851850737,-9223372036844362103,,,C4,11,6,5,2021,97.0,42.0,GENETICO,Semestrale,2021,,,
-9223372035851850749,-9223372036844362101,,,C4,11,6,5,2021,104.0,52.0,GENETICO,Semestrale,2021,,,
-9223372035851850761,-9223372036844362116,,,C4,11,6,5,2021,106.0,42.0,GENETICO,Semestrale,2021,,,
-9223372035851850773,-9223372036844385815,,,C4,11,6,5,2021,104.0,52.0,GENETICO,Semestrale,2021,,,
-9223372035851850785,-9223372036835155835,,,C4,11,6,5,2021,103.0,51.0,GENETICO,Semestrale,2021,,,
-9223372035851850797,-9223372036835155836,,,C4,11,6,5,2021,100.0,42.0,GENETICO,Semestrale,2021,,,
-9223372035851850809,-9223372036844271304,,,C4,11,6,5,2021,104.0,57.0,GENETICO,Semestrale,2021,,,
-9223372035851850821,-9223372036844271293,,,C4,11,6,5,2021,109.0,58.0,GENETICO,Semestrale,2021,,,
