idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataMacellazione,PesoCarcassa,PesoVivo,Categoria,Classificazione,PaeseDiProvenienza,ArrivatoMortoAlMacello,CodiceCausaleMorte,CarcassaDestinataAlConsumo,PaeseDiProvenienzaIso31663char
-9223372036059338115,-9223372036843698424,21,BZ,C4,11,22,1,2018,2018-01-22,,,,,IT,N,,N,
-9223372036059338137,-9223372036843698425,21,BZ,C4,11,22,1,2018,2018-01-22,,,,,IT,N,,N,
-9223372036059338159,-9223372036846949331,21,BZ,C4,11,15,1,2018,2018-01-15,,,,,IT,N,,N,
-9223372036059338193,-9223372036843698427,21,BZ,C4,11,15,1,2018,2018-01-15,108.0,,,,IT,N,,N,
-9223372036059339301,-9223372036846948337,21,BZ,C4,11,31,1,2018,2018-01-31,,,,,IT,N,,N,
-9223372036059339312,-9223372036847519240,21,BZ,C4,11,31,1,2018,2018-01-31,,,,,IT,N,,N,
-9223372036059339647,-9223372036846944626,21,BZ,C4,11,29,1,2018,2018-01-29,89.9,,,,IT,N,,N,
-9223372036059342797,-9223372036847855865,21,BZ,C4,11,29,1,2018,2018-01-29,,,,,IT,N,,N,
-9223372036059342871,-9223372036848662448,21,BZ,C4,11,30,1,2018,2018-01-30,,,,,IT,N,,N,
-9223372036059342891,-9223372036846949885,21,BZ,C4,11,30,1,2018,2018-01-30,,,,,IT,N,,N,
-9223372036059342901,-9223372036846948713,21,BZ,C4,11,30,1,2018,2018-01-30,,,,,IT,N,,N,
-9223372036059342947,-9223372036843698720,21,BZ,C4,11,30,1,2018,2018-01-30,122.0,,,,IT,N,,N,
-9223372036059351311,-9223372036843699330,25,BL,C4,11,23,1,2018,2018-01-23,,,0,00,IT,N,,N,
-9223372036059779502,-9223372036843728098,23,VR,C4,11,25,1,2018,2018-01-25,,,A,R2,IT,N,,N,
-9223372036059787608,-9223372036848658816,28,PD,C4,11,24,1,2018,2018-01-24,,,D,P2,IT,N,,N,
-9223372036060050839,-9223372036843744082,26,TV,C4,11,30,1,2018,2018-01-30,,,0,00,IT,N,,N,
-9223372036060102764,-9223372036849124356,21,BZ,C4,11,31,1,2018,2018-01-31,,,,,IT,N,,N,
-9223372036060102784,-9223372036843747205,21,BZ,C4,11,31,1,2018,2018-01-31,,,,,IT,N,,N,
-9223372036060120632,-9223372036848661840,22,TN,C4,11,29,1,2018,2018-01-29,,,D,,IT,N,,N,
-9223372036060120668,-9223372036843748326,22,TN,C4,11,29,1,2018,2018-01-29,,,C,,IT,N,,N,
-9223372036060121979,-9223372036843748371,22,TN,C4,11,30,1,2018,2018-01-30,,,D,,IT,N,,N,
-9223372036060132353,-9223372036843749183,21,BZ,C4,11,31,1,2018,2018-01-31,,,,,IT,N,,N,
-9223372036060132678,-9223372036843749205,21,BZ,C4,11,31,1,2018,2018-01-31,,,,,IT,N,,N,
-9223372036060132689,-9223372036846948800,21,BZ,C4,11,31,1,2018,2018-01-31,,,,,IT,N,,N,
-9223372036060132748,-9223372036843749210,21,BZ,C4,11,31,1,2018,2018-01-31,,,,,IT,N,,N,
-9223372036060141655,-9223372036848658626,21,BZ,C4,11,30,1,2018,2018-01-30,,,,,IT,N,,N,
-9223372036060141698,-9223372036843749848,21,BZ,C4,11,30,1,2018,2018-01-30,,,,,IT,N,,N,
-9223372036060161018,-9223372036843751171,21,BZ,C4,11,30,1,2018,2018-01-30,,,,,IT,N,,N,
-9223372036060196037,-9223372036843753307,21,BZ,C4,11,31,1,2018,2018-01-31,383.7,,0,00,IT,N,,N,
-9223372036060196076,-9223372036843753309,21,BZ,C4,11,31,1,2018,2018-01-31,119.4,,0,00,IT,N,,N,
-9223372036060196111,-9223372036843753312,21,BZ,C4,11,31,1,2018,2018-01-31,340.6,,0,00,IT,N,,N,
-9223372036060270359,-9223372036843758316,21,BZ,C4,11,29,1,2018,2018-01-29,93.0,,,,IT,N,,N,
