,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataDiagnosiGravidanza,EsitoDiagnosiGravidanza,full_date,identifying_column
112,-9223372036216475727,-9223372036848661719,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036848661719_2017-11-28
113,-9223372036216475728,-9223372036849887615,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036849887615_2017-11-28
114,-9223372036216475730,-9223372036849095193,21,BZ,C4,11,13,11,2017,2017-11-13,POSITIVA,2017-11-13,-9223372036849095193_2017-11-13
115,-9223372036216475772,-9223372036848649810,21,BZ,C4,11,3,11,2017,2017-11-03,POSITIVA,2017-11-03,-9223372036848649810_2017-11-03
116,-9223372036216476518,-9223372036849131823,21,BZ,C4,11,12,11,2017,2017-11-12,POSITIVA,2017-11-12,-9223372036849131823_2017-11-12
117,-9223372036216476537,-9223372036848623775,21,BZ,C4,11,25,11,2017,2017-11-25,POSITIVA,2017-11-25,-9223372036848623775_2017-11-25
118,-9223372036216476541,-9223372036848653143,21,BZ,C4,11,25,11,2017,2017-11-25,POSITIVA,2017-11-25,-9223372036848653143_2017-11-25
119,-9223372036216477046,-9223372036848035169,21,BZ,C4,11,13,11,2017,2017-11-13,POSITIVA,2017-11-13,-9223372036848035169_2017-11-13
120,-9223372036216477049,-9223372036848654752,21,BZ,C4,11,13,11,2017,2017-11-13,POSITIVA,2017-11-13,-9223372036848654752_2017-11-13
121,-9223372036216477220,-9223372036848630178,21,BZ,C4,11,5,11,2017,2017-11-05,POSITIVA,2017-11-05,-9223372036848630178_2017-11-05
122,-9223372036216477238,-9223372036848658323,21,BZ,C4,11,3,11,2017,2017-11-03,NEGATIVA,2017-11-03,-9223372036848658323_2017-11-03
123,-9223372036216477657,-9223372036848638166,21,BZ,C4,11,26,11,2017,2017-11-26,POSITIVA,2017-11-26,-9223372036848638166_2017-11-26
124,-9223372036216477977,-9223372036848659027,21,BZ,C4,11,16,11,2017,2017-11-16,POSITIVA,2017-11-16,-9223372036848659027_2017-11-16
125,-9223372036216477983,-9223372036848644950,21,BZ,C4,11,4,11,2017,2017-11-04,POSITIVA,2017-11-04,-9223372036848644950_2017-11-04
126,-9223372036216478221,-9223372036848656344,21,BZ,C4,11,7,11,2017,2017-11-07,POSITIVA,2017-11-07,-9223372036848656344_2017-11-07
127,-9223372036216478675,-9223372036848656345,21,BZ,C4,11,9,11,2017,2017-11-09,NEGATIVA,2017-11-09,-9223372036848656345_2017-11-09
128,-9223372036216478803,-9223372036848628620,21,BZ,C4,11,14,11,2017,2017-11-14,NEGATIVA,2017-11-14,-9223372036848628620_2017-11-14
