,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,IcssIndiceCelluleSomatiche,AccuratezzaCalcoloIndice,TipoIndice,FrequenzaCalcolo,AnnoDiRiferimento,NumeroDiFiglie,NumeroDiAziende,AreaGeograficaEsteraDiInfluenzaSuCalcolo,identifying_column
8068,-9223372035851945876,-9223372036847950530,,,C4,11,6,5,2021,91.0,64.0,GENETICO,Semestrale,2021,,,,-9223372036847950530_2021
8069,-9223372035851945888,-9223372036847984699,,,C4,11,6,5,2021,102.0,59.0,GENETICO,Semestrale,2021,,,,-9223372036847984699_2021
8070,-9223372035851945900,-9223372036847956571,,,C4,11,6,5,2021,97.0,69.0,GENETICO,Semestrale,2021,,,,-9223372036847956571_2021
8071,-9223372035851945912,-9223372036847954316,,,C4,11,6,5,2021,106.0,64.0,GENETICO,Semestrale,2021,,,,-9223372036847954316_2021
8072,-9223372035851945924,-9223372036849401770,,,C4,11,6,5,2021,98.0,68.0,GENETICO,Semestrale,2021,,,,-9223372036849401770_2021
8073,-9223372035851945936,-9223372036847950584,,,C4,11,6,5,2021,110.0,65.0,GENETICO,Semestrale,2021,,,,-9223372036847950584_2021
8074,-9223372035851945948,-9223372036847956574,,,C4,11,6,5,2021,101.0,68.0,GENETICO,Semestrale,2021,,,,-9223372036847956574_2021
8075,-9223372035851945960,-9223372036847964671,,,C4,11,6,5,2021,111.0,63.0,GENETICO,Semestrale,2021,,,,-9223372036847964671_2021
8076,-9223372035851945972,-9223372036846943464,,,C4,11,6,5,2021,103.0,60.0,GENETICO,Semestrale,2021,,,,-9223372036846943464_2021
8077,-9223372035851945984,-9223372036847938437,,,C4,11,6,5,2021,109.0,60.0,GENETICO,Semestrale,2021,,,,-9223372036847938437_2021
8078,-9223372035851945996,-9223372036847958153,,,C4,11,6,5,2021,99.0,68.0,GENETICO,Semestrale,2021,,,,-9223372036847958153_2021
8079,-9223372035851946008,-9223372036847951899,,,C4,11,6,5,2021,105.0,61.0,GENETICO,Semestrale,2021,,,,-9223372036847951899_2021
8080,-9223372035851946020,-9223372036847920227,,,C4,11,6,5,2021,103.0,60.0,GENETICO,Semestrale,2021,,,,-9223372036847920227_2021
8081,-9223372035851946032,-9223372036847936294,,,C4,11,6,5,2021,101.0,60.0,GENETICO,Semestrale,2021,,,,-9223372036847936294_2021
8082,-9223372035851946044,-9223372036847952791,,,C4,11,6,5,2021,100.0,59.0,GENETICO,Semestrale,2021,,,,-9223372036847952791_2021
8083,-9223372035851946056,-9223372036847963892,,,C4,11,6,5,2021,98.0,69.0,GENETICO,Semestrale,2021,,,,-9223372036847963892_2021
8084,-9223372035851946068,-9223372036847946242,,,C4,11,6,5,2021,93.0,67.0,GENETICO,Semestrale,2021,,,,-9223372036847946242_2021
8085,-9223372035851946080,-9223372036847947397,,,C4,11,6,5,2021,102.0,69.0,GENETICO,Semestrale,2021,,,,-9223372036847947397_2021
8086,-9223372035851946092,-9223372036847940346,,,C4,11,6,5,2021,94.0,67.0,GENETICO,Semestrale,2021,,,,-9223372036847940346_2021
8087,-9223372035851946104,-9223372036847997086,,,C4,11,6,5,2021,106.0,70.0,GENETICO,Semestrale,2021,,,,-9223372036847997086_2021
8088,-9223372035851946116,-9223372036847950575,,,C4,11,6,5,2021,98.0,68.0,GENETICO,Semestrale,2021,,,,-9223372036847950575_2021
8089,-9223372035851946128,-9223372036847955259,,,C4,11,6,5,2021,105.0,68.0,GENETICO,Semestrale,2021,,,,-9223372036847955259_2021
8090,-9223372035851946141,-9223372036847962851,,,C4,11,6,5,2021,102.0,66.0,GENETICO,Semestrale,2021,,,,-9223372036847962851_2021
8091,-9223372035851946153,-9223372036846494342,,,C4,11,6,5,2021,99.0,52.0,GENETICO,Semestrale,2021,,,,-9223372036846494342_2021
8092,-9223372035851946165,-9223372036847940366,,,C4,11,6,5,2021,100.0,56.0,GENETICO,Semestrale,2021,,,,-9223372036847940366_2021
8093,-9223372035851946177,-9223372036847932559,,,C4,11,6,5,2021,100.0,53.0,GENETICO,Semestrale,2021,,,,-9223372036847932559_2021
8094,-9223372035851946189,-9223372036847951915,,,C4,11,6,5,2021,112.0,63.0,GENETICO,Semestrale,2021,,,,-9223372036847951915_2021
8095,-9223372035851946201,-9223372036847926624,,,C4,11,6,5,2021,105.0,60.0,GENETICO,Semestrale,2021,,,,-9223372036847926624_2021
8096,-9223372035851946213,-9223372036847952798,,,C4,11,6,5,2021,106.0,67.0,GENETICO,Semestrale,2021,,,,-9223372036847952798_2021
