idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataAsciutta
-9223372036220102204,-9223372036849149907,21,BZ,C4,11,10,11,2017,2017-11-10
-9223372036220102259,-9223372036848629841,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220102261,-9223372036848661691,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220103076,-9223372036848659422,21,BZ,C4,11,11,11,2017,2017-11-11
-9223372036220103480,-9223372036848652852,21,BZ,C4,11,15,11,2017,2017-11-15
-9223372036220103499,-9223372036848649425,21,BZ,C4,11,25,11,2017,2017-11-25
-9223372036220103956,-9223372036848632459,21,BZ,C4,11,18,11,2017,2017-11-18
-9223372036220104303,-9223372036848653979,21,BZ,C4,11,10,11,2017,2017-11-10
-9223372036220104322,-9223372036848639322,21,BZ,C4,11,5,11,2017,2017-11-05
-9223372036220104332,-9223372036848648427,21,BZ,C4,11,27,11,2017,2017-11-27
-9223372036220104344,-9223372036848647183,21,BZ,C4,11,28,11,2017,2017-11-28
-9223372036220104743,-9223372036848654351,21,BZ,C4,11,27,11,2017,2017-11-27
-9223372036220104746,-9223372036848628904,21,BZ,C4,11,12,11,2017,2017-11-12
-9223372036220104768,-9223372036848653955,21,BZ,C4,11,20,11,2017,2017-11-20
-9223372036220104792,-9223372036848631463,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220104965,-9223372036848640842,21,BZ,C4,11,12,11,2017,2017-11-12
-9223372036220105202,-9223372036848655408,21,BZ,C4,11,20,11,2017,2017-11-20
-9223372036220105627,-9223372036848638992,21,BZ,C4,11,10,11,2017,2017-11-10
-9223372036220105725,-9223372036848645732,21,BZ,C4,11,10,11,2017,2017-11-10
-9223372036220106008,-9223372036849305105,21,BZ,C4,11,5,11,2017,2017-11-05
-9223372036220106010,-9223372036847855862,21,BZ,C4,11,12,11,2017,2017-11-12
-9223372036220106081,-9223372036848636660,21,BZ,C4,11,13,11,2017,2017-11-13
-9223372036220106082,-9223372036848649538,21,BZ,C4,11,10,11,2017,2017-11-10
-9223372036220106134,-9223372036848637423,21,BZ,C4,11,12,11,2017,2017-11-12
-9223372036220106425,-9223372036848630285,21,BZ,C4,11,20,11,2017,2017-11-20
-9223372036220106432,-9223372036848661059,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220106444,-9223372036848658960,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220106832,-9223372036849133217,21,BZ,C4,11,25,11,2017,2017-11-25
-9223372036220107409,-9223372036848646438,21,BZ,C4,11,20,11,2017,2017-11-20
-9223372036220107417,-9223372036848649372,21,BZ,C4,11,10,11,2017,2017-11-10
-9223372036220107421,-9223372036848639233,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220107839,-9223372036848647377,21,BZ,C4,11,10,11,2017,2017-11-10
-9223372036220108315,-9223372036848656230,21,BZ,C4,11,20,11,2017,2017-11-20
-9223372036220108592,-9223372036848660949,21,BZ,C4,11,20,11,2017,2017-11-20
-9223372036220108597,-9223372036848654706,21,BZ,C4,11,25,11,2017,2017-11-25
